ocean,name,date,time,rating,lat,long,wind_speed,pressure
AL121975,            UAMED,19750914,1800, TD,40,54,20,-999
AL131975,             ELOISE,19750913,600, TD,17.5,54.1,25,-999
AL131975,             ELOISE,19750913,1200, TD,17.6,55.2,25,1009
AL131975,             ELOISE,19750913,1800, TD,17.7,56.3,25,1009
AL131975,             ELOISE,19750914,0, TD,17.8,57.3,25,1009
AL131975,             ELOISE,19750914,600, TD,17.9,58.3,25,1009
AL131975,             ELOISE,19750914,1200, TD,18,59.4,25,1009
AL131975,             ELOISE,19750914,1800, TD,18.1,60.5,25,1009
AL131975,             ELOISE,19750915,0, TD,18.3,61.7,25,1009
AL131975,             ELOISE,19750915,600, TD,18.5,62.8,25,1009
AL131975,             ELOISE,19750915,1200, TD,18.8,63.8,30,1007
AL131975,             ELOISE,19750915,1800, TD,18.9,64.8,30,1007
AL131975,             ELOISE,19750916,0, TS,19,65.6,35,1007
AL131975,             ELOISE,19750916,600, TS,19.2,66.7,45,1007
AL131975,             ELOISE,19750916,1200, TS,19.4,67.5,55,1002
AL131975,             ELOISE,19750916,1800, HU,19.5,68.4,65,1002
AL131975,             ELOISE,19750917,0, HU,19.6,69.2,65,997
AL131975,             ELOISE,19750917,600, TS,19.7,70.2,60,1000
AL131975,             ELOISE,19750917,1200, TS,19.7,71.2,55,1000
AL131975,             ELOISE,19750917,1800, TS,19.8,72.2,50,1000
AL131975,             ELOISE,19750918,0, TS,19.9,73.3,45,1000
AL131975,             ELOISE,19750918,600, TS,19.9,74.5,45,1000
AL131975,             ELOISE,19750918,1200, TS,19.9,75.7,40,1000
AL131975,             ELOISE,19750918,1800, TS,20,77,40,1000
AL131975,             ELOISE,19750919,0, TS,20,78.2,35,1000
AL131975,             ELOISE,19750919,600, TS,19.9,79.1,35,1000
AL131975,             ELOISE,19750919,1200, TS,19.9,79.8,35,1000
AL131975,             ELOISE,19750919,1800, TS,19.8,81,35,1000
AL131975,             ELOISE,19750920,0, TS,19.8,82.2,35,1000
AL131975,             ELOISE,19750920,600, TS,19.8,83.4,35,1000
AL131975,             ELOISE,19750920,1200, TS,19.9,84.6,35,1006
AL131975,             ELOISE,19750920,1800, TS,20,85.5,35,1006
AL131975,             ELOISE,19750921,0, TS,20.2,86.4,40,1001
AL131975,             ELOISE,19750921,600, TS,20.8,87.1,45,1001
AL131975,             ELOISE,19750921,1200, TS,21.4,87.8,50,1001
AL131975,             ELOISE,19750921,1800, TS,22.4,88.5,55,995
AL131975,             ELOISE,19750922,0, TS,23.6,88.9,60,995
AL131975,             ELOISE,19750922,600, HU,24.8,89.4,65,993
AL131975,             ELOISE,19750922,1200, HU,25.8,89.5,75,986
AL131975,             ELOISE,19750922,1800, HU,26.5,89.4,85,980
AL131975,             ELOISE,19750923,0, HU,27.3,88.5,95,968
AL131975,             ELOISE,19750923,600, HU,28.4,87.3,105,958
AL131975,             ELOISE,19750923,1200, HU,30.2,86.3,110,955
AL131975,             ELOISE,19750923,1800, TS,33,85.7,55,982
AL131975,             ELOISE,19750924,0, TD,35.5,84.3,30,999
AL131975,             ELOISE,19750924,600, EX,36.5,83.5,20,1004
AL131975,             ELOISE,19750924,1200, EX,37,82.5,20,1004
AL131975,             ELOISE,19750924,1800, EX,37.5,81.5,20,1004
AL141975,               FAYE,19750918,600, TD,17.5,33.5,25,-999
AL141975,               FAYE,19750918,1200, TD,17.8,34.4,25,-999
AL141975,               FAYE,19750918,1800, TD,18.3,35.3,25,-999
AL141975,               FAYE,19750919,0, TD,19,36.4,25,-999
AL141975,               FAYE,19750919,600, TD,19.6,37.6,30,-999
AL141975,               FAYE,19750919,1200, TS,20,39,35,-999
AL141975,               FAYE,19750919,1800, TS,20.4,40.2,40,-999
AL141975,               FAYE,19750920,0, TS,20.5,41.3,40,-999
AL141975,               FAYE,19750920,600, TS,20.5,42.7,40,-999
AL141975,               FAYE,19750920,1200, TS,20.3,44,40,-999
AL141975,               FAYE,19750920,1800, TS,20.2,45.3,40,-999
AL141975,               FAYE,19750921,0, TS,20.3,46.2,40,-999
AL141975,               FAYE,19750921,600, TS,20.3,47,40,-999
AL141975,               FAYE,19750921,1200, TS,20.3,47.8,40,-999
AL141975,               FAYE,19750921,1800, TS,20.4,48.5,35,-999
AL141975,               FAYE,19750922,0, TS,20.5,49.3,35,-999
AL141975,               FAYE,19750922,600, TS,20.5,50,35,-999
AL141975,               FAYE,19750922,1200, TS,20.4,50.8,35,-999
AL141975,               FAYE,19750922,1800, TS,20.4,51.5,35,-999
AL141975,               FAYE,19750923,0, TS,20.4,52.2,35,-999
AL141975,               FAYE,19750923,600, TS,20.3,53.4,35,-999
AL141975,               FAYE,19750923,1200, TD,20.4,54.6,30,-999
AL141975,               FAYE,19750923,1800, TD,20.6,55.8,30,-999
AL141975,               FAYE,19750924,0, TD,20.8,56.5,30,-999
AL141975,               FAYE,19750924,600, TD,21.5,57.1,25,-999
AL141975,               FAYE,19750924,1200, TD,22.4,57,25,-999
AL141975,               FAYE,19750924,1800, TD,23,56.9,25,1005
AL141975,               FAYE,19750925,0, TD,23.8,57.2,30,1005
AL141975,               FAYE,19750925,600, TS,24.2,58.1,35,1005
AL141975,               FAYE,19750925,1200, TS,24.8,58.8,45,999
AL141975,               FAYE,19750925,1800, TS,25.5,59.4,60,993
AL141975,               FAYE,19750926,0, HU,26.5,60,65,990
AL141975,               FAYE,19750926,600, HU,27.9,60.9,70,988
AL141975,               FAYE,19750926,1200, HU,29.6,62,75,985
AL141975,               FAYE,19750926,1800, HU,31,63.1,85,985
AL141975,               FAYE,19750927,0, HU,32.7,64.2,90,985
AL141975,               FAYE,19750927,600, HU,34.4,65.2,90,979
AL141975,               FAYE,19750927,1200, HU,36.1,65.7,90,982
AL141975,               FAYE,19750927,1800, HU,37.4,65,90,985
AL141975,               FAYE,19750928,0, HU,38.4,63.7,85,985
AL141975,               FAYE,19750928,600, HU,39.8,60.5,80,985
AL141975,               FAYE,19750928,1200, HU,41,57.1,75,979
AL141975,               FAYE,19750928,1800, HU,42.3,52,75,977
AL141975,               FAYE,19750929,0, HU,42.8,46,70,977
AL141975,               FAYE,19750929,600, HU,42.9,40,65,977
AL141975,               FAYE,19750929,1200, EX,43,34,60,-999
AL151975,             GLADYS,19750922,1800, TD,10.3,34.8,25,1012
AL151975,             GLADYS,19750923,0, TD,10.6,35.8,25,1012
AL151975,             GLADYS,19750923,600, TD,11,36.7,25,1012
AL151975,             GLADYS,19750923,1200, TD,11.4,37.4,25,1012
AL151975,             GLADYS,19750923,1800, TD,11.7,38.2,30,1010
AL151975,             GLADYS,19750924,0, TD,12.1,38.8,30,1010
AL151975,             GLADYS,19750924,600, TD,12.4,39.6,30,1010
AL151975,             GLADYS,19750924,1200, TD,12.9,40,30,1010
AL151975,             GLADYS,19750924,1800, TS,13.5,40.4,35,1005
AL151975,             GLADYS,19750925,0, TS,14.2,41,40,1005
AL151975,             GLADYS,19750925,600, TS,14.8,42,50,1000
AL151975,             GLADYS,19750925,1200, TS,15.4,43,60,1000
AL151975,             GLADYS,19750925,1800, HU,15.8,44,65,990
AL151975,             GLADYS,19750926,0, HU,16.2,45,65,990
AL151975,             GLADYS,19750926,600, HU,16.4,46.1,65,990
AL151975,             GLADYS,19750926,1200, HU,16.6,47.7,65,990
AL151975,             GLADYS,19750926,1800, HU,16.8,49.3,65,990
AL151975,             GLADYS,19750927,0, HU,17.1,50.7,65,990
AL151975,             GLADYS,19750927,600, HU,17.6,52.2,65,990
AL151975,             GLADYS,19750927,1200, HU,18.2,53.7,65,990
AL151975,             GLADYS,19750927,1800, HU,18.8,55.1,65,990
AL151975,             GLADYS,19750928,0, HU,19.4,56.4,65,992
AL151975,             GLADYS,19750928,600, HU,19.6,57.4,65,992
AL151975,             GLADYS,19750928,1200, HU,19.8,58.2,65,1000
AL151975,             GLADYS,19750928,1800, HU,20.3,59.3,65,998
AL151975,             GLADYS,19750929,0, HU,21.2,60.3,65,995
AL151975,             GLADYS,19750929,600, HU,22.1,61.4,70,990
AL151975,             GLADYS,19750929,1200, HU,23,62.6,70,990
AL151975,             GLADYS,19750929,1800, HU,23.6,63.9,75,985
AL151975,             GLADYS,19750930,0, HU,24.1,65.2,80,975
AL151975,             GLADYS,19750930,600, HU,24.6,66.5,80,975
AL151975,             GLADYS,19750930,1200, HU,25.1,67.9,80,975
AL151975,             GLADYS,19750930,1800, HU,25.6,69.3,80,975
AL151975,             GLADYS,19751001,0, HU,26.1,70.6,80,975
AL151975,             GLADYS,19751001,600, HU,26.8,71.7,80,975
AL151975,             GLADYS,19751001,1200, HU,27.9,72.4,80,975
AL151975,             GLADYS,19751001,1800, HU,29.4,73,90,969
AL151975,             GLADYS,19751002,0, HU,31,73,100,954
AL151975,             GLADYS,19751002,600, HU,32.9,72.1,110,942
AL151975,             GLADYS,19751002,1200, HU,35.3,69.8,120,939
AL151975,             GLADYS,19751002,1800, HU,37.8,67,120,939
AL151975,             GLADYS,19751003,0, HU,40.8,62.6,110,950
AL151975,             GLADYS,19751003,600, HU,43.7,57,85,960
AL151975,             GLADYS,19751003,1200, HU,46.6,50.6,85,960
AL151975,             GLADYS,19751003,1800, EX,50.5,45.5,75,975
AL151975,             GLADYS,19751004,0, EX,55,40,65,980
AL161975,            UAMED,19750925,1200, TD,19,84,20,-999
AL161975,            UAMED,19750925,1800, TD,19,84.2,25,-999
AL161975,            UAMED,19750926,0, TD,18.9,84.5,25,-999
AL161975,            UAMED,19750926,600, TD,18.8,84.8,25,-999
AL161975,            UAMED,19750926,1200, TD,18.8,85,25,-999
AL161975,            UAMED,19750926,1800, TD,18.6,85.4,25,-999
AL161975,            UAMED,19750927,0, TD,18.4,85.8,25,-999
AL161975,            UAMED,19750927,600, TD,18.2,86.1,25,-999
AL161975,            UAMED,19750927,1200, TD,18,86.5,25,-999
AL161975,            UAMED,19750927,1800, TD,18,86.8,25,-999
AL161975,            UAMED,19750928,0, TD,18,87,25,-999
AL161975,            UAMED,19750928,600, TD,18,87.2,25,-999
AL161975,            UAMED,19750928,1200, TD,18,87.5,25,-999
AL161975,            UAMED,19750928,1800, TD,18,87.8,25,-999
AL161975,            UAMED,19750929,0, TD,18,88,25,-999
AL161975,            UAMED,19750929,600, TD,18,88.2,20,-999
AL161975,            UAMED,19750929,1200, TD,18,88.5,-99,-999
AL171975,            UAMED,19751003,1200, TD,28,33,20,-999
AL171975,            UAMED,19751003,1800, TD,28.9,34.2,25,-999
AL171975,            UAMED,19751004,0, TD,29.8,35.5,25,-999
AL171975,            UAMED,19751004,600, TD,30.7,36.8,25,-999
AL171975,            UAMED,19751004,1200, TD,31.5,38,25,-999
AL171975,            UAMED,19751004,1800, TD,32.1,37.6,25,-999
AL171975,            UAMED,19751005,0, TD,32.8,37.2,25,-999
AL171975,            UAMED,19751005,600, TD,33.4,36.8,25,-999
AL171975,            UAMED,19751005,1200, TD,34,36.5,20,-999
AL181975,            UAMED,19751014,1200, TD,21,92,20,-999
AL181975,            UAMED,19751014,1800, TD,21.6,92.5,25,-999
AL181975,            UAMED,19751015,0, TD,22.2,93,25,-999
AL181975,            UAMED,19751015,600, TD,22.8,93.5,30,-999
AL181975,            UAMED,19751015,1200, TD,23.5,94,30,-999
AL181975,            UAMED,19751015,1800, TD,24.4,93.8,30,-999
AL181975,            UAMED,19751016,0, TD,25.3,93.5,30,-999
AL181975,            UAMED,19751016,600, TD,26.2,93.2,30,-999
AL181975,            UAMED,19751016,1200, TD,27,93,30,-999
AL181975,            UAMED,19751016,1800, TD,27.8,92.4,30,-999
AL181975,            UAMED,19751017,0, TD,28.5,91.5,25,-999
AL181975,            UAMED,19751017,600, TD,29.2,90.7,25,-999
AL181975,            UAMED,19751017,1200, TD,30,90,-99,-999
AL191975,             HALLIE,19751024,1800, SD,29.1,79.3,30,1006
AL191975,             HALLIE,19751025,0, SD,28.8,79,30,1006
AL191975,             HALLIE,19751025,600, SD,29.4,79.4,30,1006
AL191975,             HALLIE,19751025,1200, SD,30,79.7,30,1006
AL191975,             HALLIE,19751025,1800, SD,30.2,79.8,30,1006
